# Pathway	W10	W100	W105	W111	W113	W117	W12	W123	W128	W139	W149	W154	W157	W16	W164	W169	W173	W183	W189	W193	W196	W209	W21	W215	W226	W231	W234	W250	W26	W28	W32	W38	W4	W43	W48	W53	W64	W69	W74	W79	W85	W89	W91
ko00521|g__Methanocella.s__Methanocella_paludicola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6468888889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00521|g__Methanocorpusculum.s__Methanocorpusculum_labreanum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5160000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00521|g__Methanolobus.s__Methanolobus_psychrophilus	0	0	0	0	0	0	0	0.2542222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00521|g__Methanosaeta.s__Methanosaeta_concilii	7.2050000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00521|g__Methanosaeta.s__Methanosaeta_harundinacea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3313333333	0	0.3313333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00521|g__Methanosarcina.s__Methanosarcina_acetivorans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9675555556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00521|g__Methanosarcina.s__Methanosarcina_barkeri	0	2.5456666667	0	0	1.0650000000	0	0	0	0	0.4157777778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00521|g__Methanospirillum.s__Methanospirillum_hungatei	0.1587777778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00521|g__Methylocystis.s__Methylocystis_rosea	0	0	0	0	0	0	0	0	0	0	2.2310000000	0	0	0	0	0	0	0	0	0	0	0.6897777778	0	0	0	0	0	0	0	0	0.8665555556	0	0	0	0	0	0	0	0	0	0	0	0
ko00521|g__Microcoleus.s__Microcoleus_vaginatus	0	1.1287777778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0067777778	0	0	0	0
ko00521|g__Microcystis.s__Microcystis_aeruginosa	0.8757777778	0	0	0	0	0	8.5282222222	0	0	0	0	0	1.6424444444	7.0448888889	6.9510000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00521|g__Micromonospora.s__Micromonospora_lupini	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.8196666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00521|g__Mycobacterium.s__Mycobacterium_vaccae	0	0	0	0	7.9212222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.4632222222	0	0	0	0	0	0
ko00521|g__Niastella.s__Niastella_koreensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1832222222
ko00521|g__Nitrospira.s__Candidatus_Nitrospira_defluvii	2.0402222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0384444444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00521|g__Nostoc.s__Nostoc_punctiforme	0	0	2.0455555556	0	0	0	0	0	0	0	0	0	0	3.5974444444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00521|g__Novosphingobium.s__Novosphingobium_aromaticivorans	0	0	0	0	0	0	0	0	0	0	0.1566666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00521|g__Oscillatoria.s__Oscillatoria_acuminata	0	8.0178888889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.6112222222	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00521|g__Oscillatoria.s__Oscillatoria_nigro_viridis	0	1.6083333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.1355555556	0	0	0	0
ko00521|g__Planctomyces.s__Planctomyces_limnophilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5242222222	0	0	0	0
ko00521|g__Polaromonas.s__Polaromonas_naphthalenivorans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.4492222222	3.9320000000	0	0	0	0	6.3250000000	0	0	0	0	0	0
ko00521|g__Pseudomonas.s__Pseudomonas_mandelii	0	0	0	0	0	0	0	0	3.4244444444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1266666667	0	0.1658888889	0	0.7823333333	0	0	0	0	0	0	0	2.3815555556	0	0	0	0
ko00521|g__Pseudomonas.s__Pseudomonas_putida	0.2994444444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0146666667	0	0	0	0	0	0	0	0	0	0	0	1.0194444444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00521|g__Pseudomonas.s__Pseudomonas_stutzeri	0	2.8440000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.8158888889	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00521|g__Psychrobacter.s__Psychrobacter_aquaticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1636666667	0	0	0	0	0
ko00521|g__Psychrobacter.s__Psychrobacter_arcticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.9022222222	0	0.2826666667	0	0	0	0	0
ko00521|g__Psychrobacter.s__Psychrobacter_cryohalolentis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7813333333	0	1.6364444444	0	0	0	0	0
ko00521|g__Rhizobium.s__Rhizobium_leguminosarum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6827777778	1.5222222222	0	0
ko00521|g__Rhodanobacter.s__Rhodanobacter_fulvus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.1217777778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00521|g__Rhodanobacter.s__Rhodanobacter_thiooxydans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54.5762222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00521|g__Rhodococcus.s__Rhodococcus_erythropolis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.4161111111	0	2.0384444444
ko00521|g__Rhodopseudomonas.s__Rhodopseudomonas_palustris	0.5227777778	0	0.5257777778	0	3.1318888889	0	1.7267777778	0	0.6797777778	2.9900000000	1.4413333333	0	0.3973333333	1.2163333333	0.6961111111	3.1280000000	7.3323333333	0	0	0	0	3.1105555556	2.7920000000	3.3512222222	5.5928888889	0	1.3922222222	0	0	0	3.5680000000	0.9337777778	0	0.9444444444	0	0	2.1625555556	0	0.2483333333	0.7654444444	1.0441111111	1.8665555556	2.0374444444
ko00521|g__Sideroxydans.s__Sideroxydans_lithotrophicus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6815555556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00521|g__Sorangium.s__Sorangium_cellulosum	0	0.4768888889	0.4236666667	0.7648888889	5.3314444444	0	0.6208888889	0	0.1907777778	0.5068888889	0.2985555556	0	0	0	0	0	0	0	0	0	0	0	0.5655555556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3622222222	0.9644444444	0	0
ko00521|g__Stenotrophomonas.s__Stenotrophomonas_maltophilia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6268888889	3.1868888889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00521|g__Streptomyces.s__Streptomyces_chartreusis	0	0	7.5284444444	0	6.2744444444	0	7.8742222222	0	0	0	0	0	0	0	7.3670000000	0	0	0	0	0	0	0	8.5854444444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.1076666667	10.1963333333	0	0
ko00521|g__Sulfuricella.s__Sulfuricella_denitrificans	0	0	0	0	0	0	0	0	0	1.3623333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.4418888889	3.3328888889	0	0	0	0	0	0	0	0	0	0
ko00521|g__Thauera.s__Thauera_aminoaromatica	4.3436666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00521|g__Thauera.s__Thauera_phenylacetica	6.4992222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00521|g__Thiobacillus.s__Thiobacillus_denitrificans	0.1688888889	9.5961111111	0	0	0	0.1688888889	0	0	0.5068888889	0	0	0	2.0340000000	0	0.1691111111	1.7807777778	1.9643333333	0	0	0	0	0.6640000000	0	0	0	0	0	0.3377777778	0	4.5590000000	2.3641111111	0	3.6541111111	1.3511111111	5.4038888889	3.3774444444	0	1.0132222222	0.3377777778	0	0	0	0
ko00521|unclassified	2007.5048888889	4273.3998888889	2230.1568888889	1993.3911111111	4943.9456666667	1664.9557777778	2208.4835555556	2191.5164444444	2379.6578888889	1887.7977777778	2545.0193333333	1759.1843333333	2248.7265555556	1832.3388888889	2077.5765555556	2591.6854444444	3007.6928888889	2256.3896666667	2160.5773333333	1607.8433333333	2158.4906666667	5228.2954444444	1995.5461111111	2223.9115555556	2277.7550000000	1631.2685555556	1687.2341111111	1543.9122222222	2056.4092222222	1900.6900000000	2501.7508888889	4481.4058888889	2099.5170000000	1954.7655555556	2616.4384444444	2241.0476666667	2791.9578888889	1957.8786666667	2856.9223333333	1561.4387777778	2464.1903333333	1575.6803333333	1887.7644444444
ko00522	0.0371666667	0.7970000000	0.4171666667	0.1981666667	1.8733333333	0	0.1586666667	0	0.0938333333	0.0168333333	0.0756666667	0	0	0.1408333333	0	0.1331666667	0	0.0326666667	0	0	0	0.3473333333	0.0453333333	0.0141666667	0.0568333333	0	0	0	0.0505000000	0	0	0	0.2675000000	0.1125000000	0.0696666667	0	0.0468333333	0	0	0.0645000000	0.8373333333	0.3935000000	0.4778333333
ko00522|unclassified	0.0371666667	0.7970000000	0.4171666667	0.1981666667	1.8733333333	0	0.1586666667	0	0.0938333333	0.0168333333	0.0756666667	0	0	0.1408333333	0	0.1331666667	0	0.0326666667	0	0	0	0.3473333333	0.0453333333	0.0141666667	0.0568333333	0	0	0	0.0505000000	0	0	0	0.2675000000	0.1125000000	0.0696666667	0	0.0468333333	0	0	0.0645000000	0.8373333333	0.3935000000	0.4778333333
ko00523	723.6693750000	0	710.2543125000	671.7010000000	1544.2140625000	577.4165625000	727.1829375000	733.7310625000	778.7523750000	669.9495625000	856.4075000000	625.4228750000	780.6090000000	614.2793750000	694.6708125000	841.7458125000	1015.5230000000	786.8164375000	746.2102500000	569.9300625000	751.2052500000	1832.7870625000	657.8991875000	710.3201875000	765.8698750000	563.9873125000	532.2376250000	555.8079375000	681.3058750000	665.8212500000	838.0093125000	1628.9500625000	746.5504375000	664.8565625000	897.1978750000	784.9580625000	915.9360625000	690.0808750000	911.1728125000	512.6416250000	778.2448125000	472.9298750000	587.5935625000
ko00523|unclassified	715.0232500000	0	706.4520625000	671.7010000000	1540.6729375000	577.4165625000	722.0831875000	731.2817500000	775.3454375000	669.3780625000	856.0971875000	624.1553125000	779.7804375000	610.4968750000	677.4024375000	818.9322500000	1003.4435000000	786.8164375000	745.9583750000	569.9300625000	751.2052500000	1832.4721875000	657.8991875000	710.3201875000	764.9711250000	563.9119375000	532.0293125000	555.1307500000	681.3058750000	663.0510000000	828.4671875000	1623.4847500000	745.4780000000	664.8565625000	896.4041250000	784.8085625000	914.1576250000	689.6700625000	907.3615000000	512.0488750000	776.3713750000	472.7075000000	585.6923750000
ko00524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147.9308181818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	249.3605454545	0	206.3133636364	0	0
ko00524|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147.9308181818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245.7224545455	0	204.0740000000	0	0
ko00531	93.8034285714	160.7224285714	90.4362857143	64.9327142857	232.4891428571	71.2491428571	90.8318571429	91.4325714286	95.1732857143	93.2948571429	80.4125714286	89.1567142857	96.7831428571	112.6544285714	56.8330000000	135.7477142857	167.4710000000	87.0650000000	115.8411428571	114.2701428571	120.9865714286	260.5775714286	72.5617142857	95.3007142857	85.2850000000	66.4831428571	101.9045714286	63.8618571429	57.3047142857	60.7334285714	101.3704285714	222.0221428571	76.3452857143	60.2517142857	110.4224285714	87.0495714286	101.2448571429	120.1438571429	90.7807142857	72.0658571429	127.1010000000	81.4432857143	112.7961428571
ko00531|g__Niastella.s__Niastella_koreensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1235714286
ko00531|unclassified	93.8034285714	160.7224285714	90.4362857143	64.9327142857	232.4891428571	71.2491428571	90.8318571429	91.4325714286	95.1074285714	93.2948571429	80.4125714286	89.1567142857	96.7158571429	112.6544285714	56.8330000000	134.9301428571	167.4052857143	87.0650000000	115.8411428571	114.2701428571	120.9865714286	260.3805714286	72.5617142857	95.3007142857	85.2850000000	66.4831428571	101.6450000000	63.8618571429	57.3047142857	60.7334285714	101.3704285714	222.0221428571	76.3452857143	60.2517142857	110.4224285714	87.0495714286	101.0820000000	120.0795714286	90.7807142857	72.0658571429	127.1010000000	80.7144285714	111.6725714286
ko00532	1.7186363636	0.4529090909	0.1530909091	0.0948181818	0.0858181818	0.1352727273	0	0	0.1617272727	0.1145454545	0.1345454545	0.3960909091	0	0.5668181818	0.1771818182	0	0	0.4454545455	0	0.1230909091	0.2468181818	0	0	0.0221818182	0	0.0297272727	0	0.0447272727	0.1020000000	0.0864545455	0	0.3969090909	0	0	0.2391818182	0	0	0.2120000000	0	0.1766363636	0.3215454545	0	0.1674545455
ko00532|unclassified	1.7186363636	0.4529090909	0.1530909091	0.0948181818	0.0858181818	0.1352727273	0	0	0.1617272727	0.1145454545	0.1345454545	0.3960909091	0	0.5668181818	0.1771818182	0	0	0.4454545455	0	0.1230909091	0.2468181818	0	0	0.0221818182	0	0.0297272727	0	0.0447272727	0.1020000000	0.0864545455	0	0.3969090909	0	0	0.2391818182	0	0	0.2120000000	0	0.1766363636	0.3215454545	0	0.1674545455
ko00533	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2634285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2000000000	0	0	0	0	0	0	0	0	0	0	0
ko00533|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2634285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2000000000	0	0	0	0	0	0	0	0	0	0	0
ko00534	2.5683333333	0.2501666667	0	0	0	0.3765000000	0	0.2663333333	0	0.1949166667	0.0370000000	0	1.6992500000	2.0140000000	0.4993333333	0.1440000000	0	0.6493333333	0.3019166667	0.4201666667	0	0	0.0850833333	0	0.1176666667	0	0.5530833333	0	0	0	0.6061666667	0.4445000000	0	0	0.1560833333	0	0	0.0984166667	0.1284166667	0	0.2958333333	0	0
ko00534|unclassified	2.5683333333	0.2501666667	0	0	0	0.3765000000	0	0.2663333333	0	0.1949166667	0.0370000000	0	1.6992500000	2.0140000000	0.4993333333	0.1440000000	0	0.6493333333	0.3019166667	0.4201666667	0	0	0.0850833333	0	0.1176666667	0	0.5530833333	0	0	0	0.6061666667	0.4445000000	0	0	0.1560833333	0	0	0.0984166667	0.1284166667	0	0.2958333333	0	0
ko00540	1469.4249333333	1914.8290000000	816.9030000000	929.1924000000	1398.5796666667	849.0822666667	1153.3146666667	946.6122666667	1023.4223333333	900.5735333333	1166.6149333333	958.2516666667	1353.4461333333	1118.5101333333	1320.7996666667	1996.2850666667	1636.3495333333	1260.0078666667	1358.5082000000	985.5867333333	1163.6900000000	2982.3608000000	832.8197333333	973.3110666667	1218.3672000000	940.5850666667	1088.1007333333	826.6005333333	1012.1986000000	870.4688666667	1433.7225333333	2458.4942000000	1323.3691333333	809.5706666667	1271.5892666667	870.4973333333	1112.3728666667	1450.6314666667	1284.6214000000	738.9996000000	925.8404000000	844.2270666667	992.6973333333
ko00540|g__Achromobacter.s__Achromobacter_piechaudii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1272000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00540|g__Achromobacter.s__Achromobacter_xylosoxidans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8484000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00540|g__Acidovorax.s__Acidovorax_ebreus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.1956000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00540|g__Acinetobacter.s__Acinetobacter_beijerinckii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0940000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00540|g__Acinetobacter.s__Acinetobacter_johnsonii	0.0940000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0940000000	0	0	0	0
ko00540|g__Acinetobacter.s__Acinetobacter_junii	0	0.0940000000	0	0	0	0	0	0	0	0	0	0	0.2708666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3592666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00540|g__Acinetobacter.s__Acinetobacter_lwoffii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2820666667	0	0.0940000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1880666667	0	0	0	0
ko00540|g__Acinetobacter.s__Acinetobacter_pittii_calcoaceticus_nosocomialis	0.2246000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4067333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00540|g__Acinetobacter.s__Acinetobacter_tandoii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5984666667	0	0	0	0	0	0	0	0	0	0.4701333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00540|g__Acinetobacter.s__Acinetobacter_towneri	0.0940000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00540|g__Agrobacterium.s__Agrobacterium_tumefaciens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.2658666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00540|g__Akkermansia.s__Akkermansia_muciniphila	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1127333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0586000000	0	0	0	0	0	0
ko00540|g__Albidiferax.s__Albidiferax_ferrireducens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0405333333	8.2076000000	0	0	1.3987333333	0	0	0	0	0	0	0	0
ko00540|g__Alistipes.s__Alistipes_onderdonkii	0	0	0	0	0	0	0	0	0	0	0	0	0.1981333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2726666667	0	0	0	0	0	0
ko00540|g__Allochromatium.s__Allochromatium_vinosum	0	0	0	0	0	0	0	0.4538000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00540|g__Anaeromyxobacter.s__Anaeromyxobacter_dehalogenans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.0887333333	4.2201333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00540|g__Azoarcus.s__Azoarcus_toluclasticus	0	0	0	0	0	0	1.7058666667	0	0	0	0	0	0	0	14.3539333333	7.3574000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00540|g__Bacteroides.s__Bacteroides_dorei	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1824666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00540|g__Bacteroides.s__Bacteroides_vulgatus	0	0	0	0	0	0	0	0	0.0622000000	0	0	0	0	0	0	0	0.2776000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0622000000	0	0	0	0	0
ko00540|g__Bdellovibrio.s__Bdellovibrio_bacteriovorus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3006000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00540|g__Bradyrhizobium.s__Bradyrhizobium_diazoefficiens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7826000000
ko00540|g__Bradyrhizobium.s__Bradyrhizobium_japonicum	0	0	0	0	0	0	1.7560000000	0	0	0	0	0	0	4.3042666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2962000000	7.9966000000	0	6.5177333333
ko00540|g__Candidatus_Accumulibacter.s__Candidatus_Accumulibacter_phosphatis	0.8219333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2300666667	0	0	0	0	0	0	0	0	0	0	0	0
ko00540|g__Candidatus_Solibacter.s__Candidatus_Solibacter_usitatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1546000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6233333333	0
ko00540|g__Caulobacter.s__Caulobacter_vibrioides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3604000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00540|g__Chlorobium.s__Chlorobium_limicola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0737333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00540|g__Comamonas.s__Comamonas_testosteroni	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5609333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00540|g__Corallococcus.s__Corallococcus_coralloides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7768000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00540|g__Cyanobium.s__Cyanobium_gracile	0	0	0	0	0	0	0	0.7972000000	0	0	0	0.7152666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00540|g__Dechloromonas.s__Dechloromonas_aromatica	4.9307333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00540|g__Delftia.s__Delftia_acidovorans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.6500000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00540|g__Desulfococcus.s__Desulfococcus_oleovorans	0	0	0	0	0	0	0	0.3308666667	0	0	0	0.2842666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00540|g__Desulfomicrobium.s__Desulfomicrobium_baculatum	0	0	0	0	0	0	0	1.1018666667	0.8533333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0260000000	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00540|g__Desulfomonile.s__Desulfomonile_tiedjei	0	0	0	0	0	0	0	0	0.4634666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4248666667	0	0	0	0	0	0	0	0
ko00540|g__Desulfovibrio.s__Desulfovibrio_africanus	0	0	0.1692666667	0	0	0	0	0	10.1369333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00540|g__Desulfovibrio.s__Desulfovibrio_magneticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4952666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00540|g__Dyella.s__Dyella_ginsengisoli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.1798666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00540|g__Enterobacter.s__Enterobacter_cloacae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.2174666667	0	0	0	0	0	0	0	0	0	0	0	2.2798666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
